recency,baby,computers,fixed_telephony,furniture_decor,musical_instruments,sports_leisure,telephony,toys,other_categories,freight_value,frequency_medium,mean_review_score,ratio_comment_message
319,35.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.44,1,4,100.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.7,22.76,0,4,100.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22,1,5,0.0
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.2,1,3,100.0
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,8.72,0,5,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,0,4,0.0
493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,16.05,1,5,100.0
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0,2,0.0
571,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,16.05,0,5,0.0
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,0,1,0.0
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.06,0,1,100.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0,5,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,18.23,1,5,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0,4,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,0.0,16.11,1,1,100.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.99,132.4,33.120000000000005,1,4,100.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9,85.72,0,4,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,15.1,0,5,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,0,5,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,16.97,0,5,0.0
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,1,5,100.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,0,3,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,7.78,0,5,0.0
221,129.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58,0,5,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,14.21,1,4,100.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.53,1,5,100.0
74,130.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28,0,5,100.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,12.79,0,4,100.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.69,0,5,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.24,1,5,0.0
372,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19,0,5,100.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.9,38.0,0,5,100.0
248,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,14.1,0,1,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,0.0,15.35,1,4,100.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,9.41,1,4,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,1,5,100.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,26.89,1,5,100.0
382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,5,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.17,1,5,100.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,1,5,0.0
455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0,5,100.0
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.12,0,5,100.0
378,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,0.0,25.77,0,5,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,22.62,1,5,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74,0,5,0.0
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,0,5,100.0
447,0.0,0.0,0.0,0.0,0.0,126.80000000000001,0.0,0.0,0.0,41.42,2,5,0.0
92,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0.0,0.0,12.43,0,5,0.0
19,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,0.0,18.34,1,5,100.0
373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,15.56,1,5,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47,13.37,0,3,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47,1,5,0.0
22,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,31.04,0,3,100.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33,0,5,100.0
351,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,11.85,1,5,100.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9,8.78,0,4,100.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47,0,3,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,45.98,0.0,0.0,45.7,0,5,100.0
439,0.0,0.0,0.0,384.5,0.0,0.0,0.0,0.0,39.9,36.26,1,4,83.33333333333334
430,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,28.15,0,4,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,1,5,0.0
12,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,13.76,1,4,0.0
275,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,18.34,0,5,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,15.1,0,4,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,28.09,0,5,100.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.8,164.96,0,4,100.0
188,0.0,0.0,0.0,0.0,0.0,0.0,24.89,0.0,0.0,15.1,0,3,100.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0,3,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.99,12.03,1,1,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,18.3,0,1,100.0
338,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,1,4,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,19.41,0,4,0.0
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,39.7,0,5,50.0
543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,1,4,100.0
484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,1,5,0.0
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.98,31.68,0,5,0.0
