customer_unique_id,recency,auto,bed_bath_table,computers_accessories,cool_stuff,fixed_telephony,furniture_decor,housewares,musical_instruments,small_appliances,unknown,watches_gifts,freight_value,frequency_heavy,sellers_count,mean_review_score
7c396fd4830fd04220f754e42b4e5bff,258,0.0,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,17.44,0,2,4
7c142cf63193a1473d2e66489a9ae977,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0,1,4
72632f0f9dd73dfee390c9b22eb56dd6,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,0,1,5
80bb27c7c16e8f973207a5086ab329e2,343,147.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,1,1,3
36edbb3fb164b1f16485364b6fb04c73,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.0,16.05,0,1,5
932afa1e708222e5821dac9cd5db4cae,397,59.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0,1,4
39382392765b6dc74812866ee5ee92a7,510,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,16.05,0,1,5
299905e3934e9e181bfb2e164dd4b4f8,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,1,1,2
f2a85dec752b8517b5e58a06ff3cd937,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.06,1,1,5
782987b81c92239d922aa49d6bd4200b,339,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0,1,1
e97109680b052ee858d93a539597bba7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,0,1,1
04cf8185c71090d28baa4407b2e6d600,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11,0,1,5
