customer_unique_id,recency,baby,computers,fixed_telephony,furniture_decor,musical_instruments,sports_leisure,telephony,toys,other_categories,freight_value,frequency_medium,mean_review_score,ratio_comment_message
7c396fd4830fd04220f754e42b4e5bff,15,35.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.44,1,4,100.0
80bb27c7c16e8f973207a5086ab329e2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,0,4,0.0
36edbb3fb164b1f16485364b6fb04c73,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,16.05,1,5,100.0
932afa1e708222e5821dac9cd5db4cae,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0,5,0.0
39382392765b6dc74812866ee5ee92a7,267,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,16.05,0,4,0.0
299905e3934e9e181bfb2e164dd4b4f8,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,0,5,0.0
f2a85dec752b8517b5e58a06ff3cd937,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.06,0,2,100.0
782987b81c92239d922aa49d6bd4200b,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0,5,0.0
d699688533772c15a061e8ce81cb56df,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,1,1,100.0
1974875b4a1d2e2ee6d586e3ba4d7602,68,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19,0,1,100.0
f1f4f45c8602d0db1329eed1c8e935d4,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,5,0.0
c796780c7daeab9e94cc052b1f103b21,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0,5,100.0
4ca5f90433afb5493247f0bafb583483,74,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,0.0,25.77,0,4,0.0
